Date,Price,Vol.
2001-04-30,434.25,11350
2001-05-01,436.00,5700
2001-05-02,441.50,4450
2001-05-03,442.75,2640
2001-05-04,444.50,1820
2001-05-07,441.50,1540
2001-05-08,447.50,1220
2001-05-09,447.50,1310
2001-05-10,447.50,1550
2001-05-11,450.00,990
2001-05-14,443.20,
2001-05-15,444.00,24020
2001-05-16,447.50,42660
2001-05-17,451.00,28990
2001-05-18,449.50,26600
2001-05-21,443.25,24490
2001-05-22,443.75,20850
2001-05-23,445.50,24240
2001-05-24,449.75,26690
2001-05-25,447.25,23350
2001-05-29,439.25,30640
2001-05-30,437.50,30210
2001-05-31,451.00,36350
2001-06-01,455.00,39540
2001-06-04,453.00,19200
2001-06-05,453.25,26350
2001-06-06,461.50,30170
2001-06-07,461.50,37530
2001-06-08,466.50,26190
2001-06-11,471.50,31780
2001-06-12,473.75,32960
2001-06-13,474.00,26370
2001-06-14,470.75,23050
2001-06-15,458.50,36140
2001-06-18,464.00,26620
2001-06-19,469.75,27440
2001-06-20,466.00,22790
2001-06-21,460.25,26790
2001-06-22,454.50,31370
2001-06-25,450.75,21660
2001-06-26,457.00,13420
2001-06-27,461.50,23500
2001-06-28,462.50,21400
2001-06-29,482.50,15440
2001-07-02,491.75,9300
2001-07-03,488.50,7590
2001-07-05,496.00,5650
2001-07-06,495.00,2940
2001-07-09,503.50,3260
2001-07-10,509.00,4220
2001-07-11,513.50,2330
2001-07-12,525.00,1010
2001-07-13,522.00,510
2001-07-16,511.00,18720
2001-07-17,528.00,15190
2001-07-18,513.75,11120
2001-07-19,513.00,11500
2001-07-20,496.00,17200
2001-07-23,503.75,11990
2001-07-24,503.75,11810
2001-07-25,510.75,11390
2001-07-26,510.50,18700
2001-07-27,515.50,17610
2001-07-30,504.00,19330
2001-07-31,512.75,9460
2001-08-01,509.00,4020
2001-08-02,493.25,7280
2001-08-03,492.00,5240
2001-08-06,501.50,2740
2001-08-07,508.50,1300
2001-08-08,518.00,1680
2001-08-09,514.00,1550
2001-08-10,519.00,880
2001-08-13,524.50,930
2001-08-14,516.00,530
2001-08-15,517.50,4680
2001-08-16,502.75,7530
2001-08-17,504.25,5240
2001-08-20,489.75,5260
2001-08-21,491.75,5690
2001-08-22,487.50,5160
2001-08-23,481.75,7890
2001-08-24,478.25,7770
2001-08-27,479.25,9750
2001-08-28,475.75,6250
2001-08-29,480.50,8720
2001-08-30,473.50,6420
2001-08-31,479.50,4040
2001-09-04,478.75,3880
2001-09-05,473.00,2830
2001-09-06,464.00,2420
2001-09-07,463.75,1070
2001-09-10,464.60,1060
2001-09-11,464.75,2420
2001-09-14,471.50,810
2001-09-17,480.00,30810
2001-09-18,475.00,18770
2001-09-19,469.50,37740
2001-09-20,473.50,22040
2001-09-21,469.75,36380
2001-09-24,468.00,20080
2001-09-25,463.50,7970
2001-09-26,465.00,30020
2001-09-27,461.75,26890
2001-09-28,451.25,43880
2001-10-01,452.00,30430
2001-10-02,453.00,30700
2001-10-03,452.00,27030
2001-10-04,451.00,37630
2001-10-05,452.25,28780
2001-10-08,454.00,30850
2001-10-09,451.50,30880
2001-10-10,448.25,30580
2001-10-11,447.75,25630
2001-10-12,435.50,52250
2001-10-15,429.25,40580
2001-10-16,430.50,30160
2001-10-17,434.00,37410
2001-10-18,431.00,29740
2001-10-19,424.75,33100
2001-10-22,420.75,29700
2001-10-23,420.75,33150
2001-10-24,424.50,33640
2001-10-25,428.25,31380
2001-10-26,426.50,44660
2001-10-29,426.50,33500
2001-10-30,431.75,46390
2001-10-31,428.50,16940
2001-11-01,435.00,14770
2001-11-02,433.50,9460
2001-11-05,435.50,9460
2001-11-06,432.00,5320
2001-11-07,439.00,2820
2001-11-08,434.75,2110
2001-11-09,441.75,2270
2001-11-12,445.00,1860
2001-11-13,442.25,1190
2001-11-14,448.00,690
2001-11-15,446.75,19480
2001-11-16,452.50,35260
2001-11-19,452.25,28150
2001-11-20,448.40,31950
2001-11-21,450.00,18580
2001-11-23,451.25,13180
2001-11-26,441.25,43770
2001-11-27,444.00,36050
2001-11-28,435.50,34740
2001-11-29,436.50,29140
2001-11-30,444.50,46390
2001-12-03,447.25,24600
2001-12-04,444.75,23430
2001-12-05,442.50,20480
2001-12-06,441.50,19900
2001-12-07,445.25,33840
2001-12-10,443.00,19870
2001-12-11,437.50,35180
2001-12-12,432.50,26820
2001-12-13,433.75,26940
2001-12-14,436.25,27310
2001-12-17,436.75,25080
2001-12-18,432.00,29970
2001-12-19,435.00,32670
2001-12-20,435.50,24110
2001-12-21,435.50,39930
2001-12-24,435.50,
2001-12-26,428.25,23470
2001-12-27,427.50,22220
2001-12-28,424.25,25710
2001-12-31,421.00,6620
2002-01-02,418.00,6940
2002-01-03,423.75,4140
2002-01-04,424.00,4860
2002-01-07,429.00,4440
2002-01-08,435.00,2930
2002-01-09,440.00,2060
2002-01-10,433.25,1340
2002-01-11,445.00,820
2002-01-14,446.00,620
2002-01-15,446.00,32760
2002-01-16,452.50,35850
2002-01-17,450.75,45030
2002-01-18,445.50,24740
2002-01-22,439.00,31550
2002-01-23,433.50,31710
2002-01-24,437.25,31590
2002-01-25,430.75,36400
2002-01-28,431.00,35180
2002-01-29,428.50,28950
2002-01-30,427.75,22180
2002-01-31,430.25,35080
2002-02-01,426.75,21750
2002-02-04,434.00,25160
2002-02-05,432.75,24650
2002-02-06,428.00,30420
2002-02-07,431.25,21520
2002-02-08,429.00,27010
2002-02-11,431.00,20670
2002-02-12,436.25,23660
2002-02-13,439.50,37510
2002-02-14,436.25,23230
2002-02-15,437.25,20460
2002-02-19,438.25,29660
2002-02-20,445.00,29240
2002-02-21,444.00,18730
2002-02-22,441.25,17030
2002-02-25,436.75,16390
2002-02-26,436.75,22250
2002-02-27,442.75,22470
2002-02-28,435.75,12170
2002-03-01,446.50,11160
2002-03-04,443.50,6250
2002-03-05,449.00,4470
2002-03-06,447.25,4350
2002-03-07,451.50,4500
2002-03-08,458.00,3900
2002-03-11,458.00,3560
2002-03-12,456.75,3740
2002-03-13,456.00,2300
2002-03-14,457.50,960
2002-03-15,472.25,41500
2002-03-18,460.50,36840
2002-03-19,463.50,37740
2002-03-20,458.50,23220
2002-03-21,459.25,34780
2002-03-22,464.50,32620
2002-03-25,462.50,24160
2002-03-26,467.75,24160
2002-03-27,472.75,29770
2002-03-28,476.25,43830
2002-04-01,475.75,22400
2002-04-02,473.25,22210
2002-04-03,461.75,40920
2002-04-04,459.00,41040
2002-04-05,465.50,25090
2002-04-08,458.00,40230
2002-04-09,461.25,24470
2002-04-10,460.50,34380
2002-04-11,458.00,12770
2002-04-12,461.00,15810
2002-04-15,456.50,13650
2002-04-16,463.25,16700
2002-04-17,473.25,24730
2002-04-18,470.25,14530
2002-04-19,472.00,18030
2002-04-22,470.50,13270
2002-04-23,474.00,13140
2002-04-24,479.50,22720
2002-04-25,474.00,18290
2002-04-26,467.50,25120
2002-04-29,461.75,22080
2002-04-30,462.25,11970
2002-05-01,460.25,3940
2002-05-02,459.25,4520
2002-05-03,459.00,3010
2002-05-06,460.75,2140
2002-05-07,461.00,1080
2002-05-08,467.25,2210
2002-05-09,473.00,790
2002-05-10,468.25,610
2002-05-13,477.50,1900
2002-05-14,474.50,740
2002-05-15,482.00,35070
2002-05-16,484.75,42470
2002-05-17,487.50,33900
2002-05-20,491.25,37470
2002-05-21,490.50,29150
2002-05-22,493.00,38170
2002-05-23,491.50,28810
2002-05-24,491.00,33880
2002-05-28,497.25,32000
2002-05-29,496.25,40740
2002-05-30,501.25,30360
2002-05-31,508.75,44860
2002-06-03,505.50,31000
2002-06-04,509.75,37180
2002-06-05,513.75,33160
2002-06-06,513.25,35940
2002-06-07,507.50,31650
2002-06-10,500.50,28000
2002-06-11,500.50,33950
2002-06-12,493.25,37200
2002-06-13,501.25,36120
2002-06-14,497.00,29690
2002-06-17,498.75,24690
2002-06-18,493.00,35400
2002-06-19,491.50,36170
2002-06-20,487.50,30510
